63,KNA,ขนอม,Khanom,ถาวร ,115-33kV, GIS-Indoor/Double Bus Singer Breaker,Without NGR,จ. นครศรีธรรมราช ,กฟต.2, อนุมัติจ่ายไฟ วันที่ 27 ต.ค. 2531 , 1. ขออนุมัติจ่ายไฟหม้อแปลง(TP1) เพิ่มเติม คพส.9.4 และสวิตช์เกียร์ระบบ 33 kV คพจ.1 ที่ สฟฟ.ขนอม.pdf ,TP1 ขนาด 50 MVA
64,SEA,สตูล,Satun,ถาวร ,33kV,-,Without NGR,จ. สตูล ,กฟต.3, อนุมัติจ่ายไฟ วันที่ 3 พ.ย. 2531 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 25 MVA
65,LBB,ลพบุรี 2,Lop Buri 2,ถาวร ,22kV,-,Without NGR,จ. ลพบุรี ,กฟน.3, อนุมัติจ่ายไฟ วันที่ 11 พ.ย. 2531 ,-,KT1A ขนาด 25 MVA
66,PLB,พิษณุโลก 2,Phitsanulok 2,ถาวร ,22kV,-,Without NGR,จ. พิษณุโลก ,กฟน.2, อนุมัติจ่ายไฟ วันที่ 3 ก.พ. 2532 ,-,KT2A ขนาด 25 MVA,KT3A ขนาด 12.5 MVA
67,CDA,ชัยบาดาล 1,Chai Badan 1,ถาวร ,22kV,-,Without NGR,จ. ลพบุรี ,กฟน.3, อนุมัติจ่ายไฟ วันที่ 9 มี.ค. 2532 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 25 MVA
68,CHA,ชุมแพ,Chum Phae,ถาวร ,22kV,-,Without NGR,จ. ขอนแก่น ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 21 พ.ย. 2565 , 1. กจฟ. ขออนุมัติจ่ายไฟ สฟฟ.ชุมแพ 22 kV จ.ขอนแก่น.PDF ,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
69,THA,ธาตุพนม,That Phanom,ถาวร ,22kV,-,Without NGR,จ. นครพนม ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 5 มิ.ย. 2532 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 25 MVA
70,CEA,จอมทอง,Chom Thong,ถาวร ,22kV,-,Without NGR,จ. เชียงใหม่ ,กฟน.1, อนุมัติจ่ายไฟ วันที่ 29 มิ.ย. 2566 , 1. อนุมัติจ่ายไฟสถานีไฟฟ้าจอมทอง (ระบบ 22 kV Indoor Type).pdf ,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA
71,RNA,ระนอง 1,Ranong 1,ถาวร ,33kV,-,Without NGR,จ. ระนอง ,กฟต.1, อนุมัติจ่ายไฟ วันที่ 29 มิ.ย. 2532 ,-,KT1A ขนาด 31.5 MVA,KT2A ขนาด 31.5 MVA
72,SLA,สงขลา 1,Songkhla 1,ถาวร ,33kV,-,Without NGR,จ. สงขลา ,กฟต.3, อนุมัติจ่ายไฟ วันที่ 29 เม.ย. 2562 , 1. ขออนุมัติจ่ายไฟสถานีไฟฟ้าสงขลา 1 (ระบบ 33 kV Indoor Type) จ.สงขลา ตามโครงการ คชฟ.3.pdf ,KT1A ขนาด 50 MVA,KT2A ขนาด 50 MVA,KT3A ขนาด 50 MVA
73,TKB,ตาคลี 2,Takhli 2,ถาวร ,22kV,-,Without NGR,จ. นครสวรรค์ ,กฟน.3, อนุมัติจ่ายไฟ วันที่ 19 ม.ค. 2533 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 25 MVA
74,KKB,ขอนแก่น 2,Khon Kaen 2,ถาวร ,22kV,-,Without NGR,จ. ขอนแก่น ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 17 ม.ค. 2566 , 1. อนุมัติจ่ายไฟสถานีไฟฟ้าขอนแก่น 2 (ระบบ 22 kV Indoor Type) คพจ.1.pdf ,KT1A ขนาด 25 MVA,KT2A ขนาด 50 MVA
75,NVA,นวนคร 1,Nava Nakhon 1,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. ปทุมธานี ,กฟก.1, อนุมัติจ่ายไฟ วันที่ 24 พ.ค. 2561 ,-,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
76,PGA,พังงา,Phang Nga,ถาวร ,33kV,-,Without NGR,จ. พังงา ,กฟต.2, อนุมัติจ่ายไฟ วันที่ 10 ม.ค. 2534 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 12.5 MVA
77,DBA,เดิมบางนางบวช,Doem Bang Nangbuat,ถาวร ,22kV,-,Without NGR,จ. สุพรรณบุรี ,กฟก.3, อนุมัติจ่ายไฟ วันที่ 11 มี.ค. 2534 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 25 MVA,TP1 ขนาด 25 MVA,TP2 ขนาด 25 MVA
78,LOA,หล่มสัก,Lom Sak,ถาวร ,22kV,-,Without NGR,จ. เพชรบูรณ์ ,กฟน.3, อนุมัติจ่ายไฟ วันที่ 13 มี.ค. 2534 ,-,KT2A ขนาด 25 MVA,KT3A ขนาด 50 MVA
79,BWA,บางวัว 1,Bang Wua 1,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. ฉะเชิงเทรา ,กฟก.2, อนุมัติจ่ายไฟ วันที่ 15 เม.ย. 2534 ,-, 1. อนุมัติจ่ายไฟหม้อแปลง(TP.2) 50 MVA (เปลี่ยนเพิ่มขนาด) ที่สฟฟ.บางวัว 1 จ.ฉะเชิงเทรา.pdf ,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
80,SAB,สามพราน 2,Sam Phran 2,ถาวร ,22kV,-,Without NGR,จ. นครปฐม ,กฟก.3, อนุมัติจ่ายไฟ วันที่ 9 มิ.ย. 2534 ,-,KT3A ขนาด 50 MVA,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
81,NYA,นครนายก 1,Nakhon Nayok 1,ถาวร ,22kV,-,Without NGR,จ. นครนายก ,กฟก.1, อนุมัติจ่ายไฟ วันที่ 26 มิ.ย. 2534 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 25 MVA
82,BDG,บ้านดุง 1,Ban Dung 1,ถาวร ,115-22kV, H-Configuration,Without NGR,จ. อุดรธานี ,กฟฉ.1, อนุมัติจ่ายไฟ วันที่ 26 ก.ย. 2534 ,-,TP1 ขนาด 12 MVA,TP2 ขนาด 12 MVA
83,SWA,สวรรคโลก,Sawan Khalok,ถาวร ,22kV,-,Without NGR,จ. สุโขทัย ,กฟน.2, อนุมัติจ่ายไฟ วันที่ 30 ก.ย. 2534 ,-,KT1A ขนาด 25 MVA,KT2A ขนาด 25 MVA
84,AKE,อมตะนคร 5,Amata Nakorn 5,ถาวร ,115-22kV, Main and Transfer,Without NGR,จ. ชลบุรี ,กฟก.2, อนุมัติจ่ายไฟ วันที่ 6 ต.ค. 2566 , 1. อนุมัติจ่ายไฟสถานีไฟฟ้าอมตะนคร 5 จ.ชลบุรี (Renovate) ตามโครงการ คพจ.1.pdf ,TP1 ขนาด 50 MVA,TP2 ขนาด 50 MVA
